,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
0,"Large painting of people in a crowded park, brushstrokes are dots",A Sunday on La Grande Jatte — 1884,Collection Landing,collection-nav,https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884?page=1,"https://www.artic.edu/iiif/2/88d65792-afb3-c90b-56d7-6f95967fa731/full/600,/0/default.jpg",Georges Seurat,"A Sunday on La Grande Jatte — 1884, 1884/86",0,1884,19
1,"Strangers in a brightly lit diner, seen from shadowy exterior",Nighthawks,Collection Landing,collection-nav,https://www.artic.edu/artworks/111628/nighthawks?page=1,"https://www.artic.edu/iiif/2/39d43108-e690-2705-67e2-a16dc28b8c7f/full/600,/0/default.jpg",Edward Hopper,"Nighthawks, 1942",1,1942,20
2,A work made of oil on beaver board.,American Gothic,Collection Landing,collection-nav,https://www.artic.edu/artworks/6565/american-gothic?page=1,"https://www.artic.edu/iiif/2/d02e0079-8e82-733e-683c-cb83a387ee5e/full/600,/0/default.jpg",Grant Wood,"American Gothic, 1930",2,1930,20
3,"Painting of bedroom, blue walls, green window, tan bed, red bedding",The Bedroom,Collection Landing,collection-nav,https://www.artic.edu/artworks/28560/the-bedroom?page=1,"https://www.artic.edu/iiif/2/6ad8f7d6-c8a9-5216-2664-09bd5691c6ed/full/600,/0/default.jpg",Vincent van Gogh,"The Bedroom, 1889",3,1889,19
4,Jewel toned painting of black men and women dancing in club,Nightlife,Collection Landing,collection-nav,https://www.artic.edu/artworks/117266/nightlife?page=1,"https://www.artic.edu/iiif/2/3a8b3bbd-9bd2-43b5-aec2-f22b6d55cdf1/full/600,/0/default.jpg",Archibald John Motley Jr.,"Nightlife, 1943",4,1943,20
5,Blue painting of old man with tan guitar looking down in despair.,The Old Guitarist,Collection Landing,collection-nav,https://www.artic.edu/artworks/28067/the-old-guitarist?page=1,"https://www.artic.edu/iiif/2/869a7319-306e-ca90-1732-cb614199f3df/full/600,/0/default.jpg",Pablo Picasso,"The Old Guitarist, late 1903–early 1904",5,1903,20
6,Fashionable people stroll along rainy Paris street holding umbrellas,Paris Street; Rainy Day,Collection Landing,collection-nav,https://www.artic.edu/artworks/20684/paris-street-rainy-day?page=1,"https://www.artic.edu/iiif/2/7c1093fb-f82c-02aa-a743-b179f26fb89a/full/600,/0/default.jpg",Gustave Caillebotte,"Paris Street; Rainy Day, 1877",6,1877,19
7,"Dark stone sculpture of Buddha sitting cross-legged, hands in lap, eyes closed.",Buddha Shakyamuni Seated in Meditation (Dhyanamudra),Collection Landing,collection-nav,https://www.artic.edu/artworks/21023/buddha-shakyamuni-seated-in-meditation-dhyanamudra?page=1,"https://www.artic.edu/iiif/2/a1a694d2-15e5-2464-0f5b-f527f7bfbfd4/full/600,/0/default.jpg",,"Buddha Shakyamuni Seated in Meditation (Dhyanamudra), Chola period, about 12th century",7,1150,12
8,Painting of the Virgin Mary ascending to heaven amongst multitude of angels.,The Assumption of the Virgin,Collection Landing,collection-nav,https://www.artic.edu/artworks/87479/the-assumption-of-the-virgin?page=1,"https://www.artic.edu/iiif/2/9feeeedc-359f-52ea-7c08-c8589549fc7b/full/600,/0/default.jpg","Domenico Theotokópoulos, called El Greco","The Assumption of the Virgin, 1577–79",8,1577,16
9,"Blue stained glass windows depicting angels, musicians, trees",America Windows,Collection Landing,collection-nav,https://www.artic.edu/artworks/109439/america-windows?page=1,"https://www.artic.edu/iiif/2/a62a08bb-6775-dc38-330e-8fae4271d9a4/full/600,/0/default.jpg",Marc Chagall,"America Windows, 1977",9,1977,20
